#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1705000,3409.999999933188,-7423558.68087535,300.49377985496056,42.9
1710000,3419.9999999329516,-7427108.39962535,300.9253520279372,42.9
1715000,3429.999999932715,-7426025.26681285,299.4859498650757,42.9
1720000,3439.9999999324787,-7429348.40743785,301.0900960656735,42.9
1725000,3449.999999932242,-7419027.79806285,300.3507340609507,42.9
1730000,3459.9999999320057,-7426927.98556285,300.31222106579406,42.9
1735000,3469.9999999317693,-7426282.17306285,300.2408837018723,42.9
1740000,3479.999999931533,-7425418.65743785,300.39177115914515,42.9
1745000,3489.9999999312963,-7422477.24337535,300.3502259802081,42.9
1750000,3499.99999993106,-7425336.88400035,300.3867198375162,42.9
1755000,3509.9999999308234,-7426647.68868785,300.68182629997284,42.9
1760000,3519.999999930587,-7428013.93868785,300.73288845517817,42.9
1765000,3529.9999999303504,-7427705.79806285,300.1938262632105,42.9
1770000,3539.999999930114,-7424869.90743785,301.2971752245987,42.9
1775000,3549.9999999298775,-7422451.46993785,300.25749508793274,42.9
1780000,3559.999999929641,-7429241.43868785,301.03571307042927,42.9
1785000,3569.9999999294046,-7429321.41525035,300.44437793189985,42.9
1790000,3579.999999929168,-7423793.09493785,300.62303570668706,42.9
1795000,3589.9999999289316,-7422892.65743785,300.1141023658402,42.9
1800000,3599.999999928695,-7426863.14962535,300.7155156445052,42.9
1805000,3609.9999999284587,-7425736.03243785,300.1281864321,42.9
1810000,3619.999999928222,-7427624.68868785,300.7615107388093,42.9
1815000,3629.9999999279858,-7429355.33712535,300.56894471227673,42.9
1820000,3639.9999999277493,-7425817.23556285,300.2239172517147,42.9
1825000,3649.999999927513,-7424533.01681285,300.57029392186257,42.9
1830000,3659.9999999272763,-7420292.49337535,300.04458338704575,42.9
1835000,3669.99999992704,-7429773.31368785,300.8180192641951,42.9
1840000,3679.9999999268034,-7425463.86056285,299.9587642379049,42.9
1845000,3689.999999926567,-7426042.36056285,300.2637109524515,42.9
1850000,3699.9999999263305,-7429786.96993785,300.4030963749968,42.9
1855000,3709.999999926094,-7423746.64181285,300.3763331248031,42.9
1860000,3719.9999999258575,-7426676.21212535,300.2864763795539,42.9
1865000,3729.999999925621,-7424539.73556285,300.40669228727194,42.9
1870000,3739.9999999253846,-7420530.39962535,299.6198991213477,42.9
1875000,3749.999999925148,-7424572.36056285,300.167916550289,42.9
1880000,3759.9999999249117,-7423357.39181285,300.9785543476178,42.9
1885000,3769.999999924675,-7426135.63400035,299.5890266078299,42.9
1890000,3779.9999999244387,-7424170.03243785,300.20661430229273,42.9
1895000,3789.9999999242023,-7423807.04806285,300.25490966621965,42.9
1900000,3799.999999923966,-7418584.86056285,300.5607432177811,42.9
1905000,3809.9999999237293,-7423072.01681285,300.73104323342613,42.9
1910000,3819.999999923493,-7423712.99337535,300.43705393698957,42.9
1915000,3829.9999999232564,-7427850.71212535,300.14779362681315,42.9
1920000,3839.99999992302,-7423136.17306285,299.7651502218871,42.9
1925000,3849.9999999227834,-7427089.88400035,299.94068097541304,42.9
1930000,3859.999999922547,-7424913.57150035,300.37193624878415,42.9
1935000,3869.9999999223105,-7425864.39962535,299.92624868382586,42.9
1940000,3879.999999922074,-7424617.13400035,300.2483927227867,42.9
1945000,3889.9999999218376,-7423408.73556285,299.4921863559271,42.9
1950000,3899.999999921601,-7423688.49337535,300.03790902279184,42.9
1955000,3909.9999999213646,-7424700.15743785,300.34994716569236,42.9
1960000,3919.999999921128,-7428586.61837535,300.2599730184881,42.9
1965000,3929.9999999208917,-7427610.70431285,300.1879880239193,42.9
1970000,3939.9999999206552,-7425435.42306285,300.48997603544217,42.9
1975000,3949.9999999204188,-7420504.37618785,300.3110770250836,42.9
1980000,3959.9999999201823,-7425080.36056285,300.4311149686648,42.9
1985000,3969.999999919946,-7423914.25118785,300.2987239920156,42.9
1990000,3979.9999999197094,-7423345.04025035,300.3433679089891,42.9
1995000,3989.999999919473,-7422180.16525035,299.9236807094705,42.9
2000000,3999.9999999192364,-7422369.69650035,300.57144333761653,42.9
2005000,4009.999999919,-7430869.04025035,300.50164309727654,42.9
2010000,4019.9999999187635,-7425489.42306285,300.48692422860614,42.9
2015000,4029.999999918527,-7427220.23556285,300.5139857130078,42.9
2020000,4039.9999999182905,-7427713.11837535,299.746158503732,42.9
2025000,4049.999999918054,-7427033.00118785,300.4727273656143,42.9
2030000,4059.9999999178176,-7425628.65743785,300.74895507468494,42.9
2035000,4069.999999917581,-7426642.05587535,301.44150422555094,42.9
2040000,4079.9999999173447,-7425042.75118785,300.3653527565839,42.9
2045000,4089.999999917108,-7427159.50900035,300.13117543463255,42.9
2050000,4099.999999917781,-7428635.98556285,300.48511399758394,42.9
2055000,4109.999999919818,-7428680.02462535,300.09860499515315,42.9
2060000,4119.999999921855,-7421481.15743785,299.66131828359465,42.9
2065000,4129.999999923893,-7431467.46212535,300.3157671588036,42.9
2070000,4139.99999992593,-7425835.25900035,300.573978681183,42.9
2075000,4149.999999927967,-7422202.08712535,299.7395157687192,42.9
2080000,4159.999999930004,-7423348.32150035,300.46767536486135,42.9
2085000,4169.999999932042,-7430175.86056285,300.7683783205647,42.9
2090000,4179.999999934079,-7424755.68087535,300.271016185726,42.9
2095000,4189.999999936116,-7426996.89181285,299.9957660296227,42.9
2100000,4199.999999938153,-7420921.03243785,300.6293672033176,42.9
2105000,4209.999999940191,-7425716.66525035,300.1297097331999,42.9
2110000,4219.999999942228,-7424750.06368785,300.68580709422827,43
2115000,4229.999999944265,-7425072.53243785,300.11879043226924,43
2120000,4239.9999999463025,-7421837.07931285,300.2893116374428,43
2125000,4249.99999994834,-7422910.24337535,299.8868561045286,43
2130000,4259.999999950377,-7433793.58712535,300.1635256079006,43
2135000,4269.999999952414,-7426586.93087535,300.2234953991563,43
2140000,4279.999999954452,-7421044.35275035,301.2938426371341,43
2145000,4289.999999956489,-7421474.23556285,300.24333579265107,43
2150000,4299.999999958526,-7428503.69650035,300.7273867782083,43
