time_ns,rmsd_angstrom
1.865000000000000213e+01,6.308016777038574219e+00
1.869999999999999929e+01,6.318931579589843750e+00
1.875000000000000000e+01,6.429967880249023438e+00
1.880000000000000071e+01,6.474210739135742188e+00
1.885000000000000142e+01,6.458793640136718750e+00
1.890000000000000213e+01,6.460833549499511719e+00
1.894999999999999929e+01,6.554370880126953125e+00
1.900000000000000000e+01,6.441863059997558594e+00
1.905000000000000071e+01,6.304031848907470703e+00
1.910000000000000142e+01,6.311663627624511719e+00
1.915000000000000213e+01,6.248075008392333984e+00
1.920000000000000284e+01,6.172798156738281250e+00
1.925000000000000000e+01,6.209672927856445312e+00
1.930000000000000071e+01,6.099662780761718750e+00
1.935000000000000142e+01,6.047595024108886719e+00
1.940000000000000213e+01,5.903741836547851562e+00
1.945000000000000284e+01,5.939908981323242188e+00
1.950000000000000000e+01,5.934885978698730469e+00
1.955000000000000071e+01,5.928841590881347656e+00
1.960000000000000142e+01,5.930966377258300781e+00
1.965000000000000213e+01,5.961447238922119141e+00
1.970000000000000284e+01,5.876651287078857422e+00
1.975000000000000000e+01,5.951378822326660156e+00
1.980000000000000071e+01,5.950180053710937500e+00
1.985000000000000142e+01,5.716238021850585938e+00
1.990000000000000213e+01,5.751405715942382812e+00
1.995000000000000284e+01,5.718800544738769531e+00
2.000000000000000000e+01,5.811316490173339844e+00
2.005000000000000071e+01,5.667551994323730469e+00
2.010000000000000142e+01,5.790915012359619141e+00
2.015000000000000213e+01,5.761030197143554688e+00
2.020000000000000284e+01,5.920175552368164062e+00
2.025000000000000000e+01,5.909788608551025391e+00
2.030000000000000071e+01,5.869702816009521484e+00
2.035000000000000142e+01,5.799512863159179688e+00
2.040000000000000213e+01,5.687086105346679688e+00
2.045000000000000284e+01,5.624309539794921875e+00
2.050000000000000000e+01,5.711669921875000000e+00
2.055000000000000071e+01,5.753133773803710938e+00
2.060000000000000142e+01,5.809989929199218750e+00
2.065000000000000213e+01,5.991885662078857422e+00
2.070000000000000284e+01,5.929365634918212891e+00
2.075000000000000000e+01,5.917474746704101562e+00
2.080000000000000071e+01,5.994071483612060547e+00
2.085000000000000142e+01,5.995994091033935547e+00
2.090000000000000213e+01,5.896127700805664062e+00
2.095000000000000284e+01,5.909818649291992188e+00
2.100000000000000000e+01,5.963559627532958984e+00
2.105000000000000071e+01,5.824859142303466797e+00
2.110000000000000142e+01,5.773237228393554688e+00
2.115000000000000213e+01,5.665845870971679688e+00
2.120000000000000284e+01,5.706988334655761719e+00
2.125000000000000000e+01,5.757740974426269531e+00
2.130000000000000071e+01,5.704734325408935547e+00
2.135000000000000142e+01,5.661287307739257812e+00
2.140000000000000213e+01,5.642379760742187500e+00
2.145000000000000284e+01,5.642160415649414062e+00
2.150000000000000000e+01,5.673635482788085938e+00
2.155000000000000071e+01,5.537616729736328125e+00
2.160000000000000142e+01,5.495269775390625000e+00
2.165000000000000213e+01,5.443762779235839844e+00
2.170000000000000284e+01,5.530732631683349609e+00
2.175000000000000000e+01,5.538439750671386719e+00
2.180000000000000071e+01,5.637539863586425781e+00
2.185000000000000142e+01,5.503981590270996094e+00
2.190000000000000213e+01,5.524613380432128906e+00
2.195000000000000284e+01,5.513181209564208984e+00
2.200000000000000000e+01,5.484104156494140625e+00
2.205000000000000071e+01,5.454226493835449219e+00
2.210000000000000142e+01,5.432775497436523438e+00
2.215000000000000213e+01,5.509969234466552734e+00
2.220000000000000284e+01,5.381466865539550781e+00
2.225000000000000000e+01,5.426189899444580078e+00
2.230000000000000071e+01,5.593305587768554688e+00
2.235000000000000142e+01,5.630083084106445312e+00
2.240000000000000213e+01,5.686546325683593750e+00
2.245000000000000284e+01,5.834279060363769531e+00
2.250000000000000000e+01,5.724214553833007812e+00
2.255000000000000071e+01,5.843227386474609375e+00
2.260000000000000142e+01,5.841769695281982422e+00
2.265000000000000213e+01,5.832807540893554688e+00
2.270000000000000284e+01,5.840099334716796875e+00
2.275000000000000000e+01,5.831249237060546875e+00
2.280000000000000071e+01,5.890284538269042969e+00
2.285000000000000142e+01,5.765225410461425781e+00
2.290000000000000213e+01,5.800788402557373047e+00
2.295000000000000284e+01,5.879467010498046875e+00
2.300000000000000000e+01,5.873858451843261719e+00
2.305000000000000071e+01,5.832635879516601562e+00
2.310000000000000142e+01,5.988165855407714844e+00
2.315000000000000213e+01,5.957132816314697266e+00
2.320000000000000284e+01,5.950008869171142578e+00
2.325000000000000000e+01,6.104451179504394531e+00
2.330000000000000071e+01,5.991120815277099609e+00
2.335000000000000142e+01,6.011089324951171875e+00
2.340000000000000213e+01,6.067376136779785156e+00
2.345000000000000284e+01,6.037260532379150391e+00
2.350000000000000000e+01,5.995551586151123047e+00
2.355000000000000071e+01,6.155265331268310547e+00
2.360000000000000142e+01,6.079407215118408203e+00
2.365000000000000213e+01,6.022421836853027344e+00
2.370000000000000284e+01,6.007371902465820312e+00
2.375000000000000000e+01,6.074931144714355469e+00
2.380000000000000071e+01,6.194011688232421875e+00
2.385000000000000142e+01,6.178277969360351562e+00
2.390000000000000213e+01,6.056723594665527344e+00
2.395000000000000284e+01,5.946815013885498047e+00
2.400000000000000000e+01,5.955398559570312500e+00
2.405000000000000071e+01,6.038966178894042969e+00
2.410000000000000142e+01,6.121399402618408203e+00
2.415000000000000213e+01,5.992495059967041016e+00
2.420000000000000284e+01,6.113063335418701172e+00
2.425000000000000000e+01,6.024092674255371094e+00
2.430000000000000071e+01,6.065771102905273438e+00
2.435000000000000142e+01,6.207285881042480469e+00
2.440000000000000213e+01,6.127397537231445312e+00
2.445000000000000284e+01,6.134458541870117188e+00
2.450000000000000000e+01,6.138495922088623047e+00
2.455000000000000071e+01,6.101994514465332031e+00
2.460000000000000142e+01,6.003263473510742188e+00
2.465000000000000213e+01,5.906345844268798828e+00
2.470000000000000284e+01,5.910487174987792969e+00
2.475000000000000000e+01,5.813591957092285156e+00
2.480000000000000071e+01,5.835371971130371094e+00
2.485000000000000142e+01,5.827248573303222656e+00
2.490000000000000213e+01,5.832276344299316406e+00
2.495000000000000284e+01,5.838136672973632812e+00
2.500000000000000000e+01,5.917414665222167969e+00
2.505000000000000071e+01,5.885057926177978516e+00
2.510000000000000142e+01,5.779774665832519531e+00
2.515000000000000213e+01,5.763476371765136719e+00
2.520000000000000284e+01,5.799918651580810547e+00
2.525000000000000000e+01,5.832154273986816406e+00
2.530000000000000071e+01,5.919523239135742188e+00
2.535000000000000142e+01,6.012074470520019531e+00
2.540000000000000213e+01,5.980279922485351562e+00
2.545000000000000284e+01,6.073392868041992188e+00
2.550000000000000000e+01,6.183420181274414062e+00
2.555000000000000071e+01,6.222516059875488281e+00
2.560000000000000142e+01,6.196042060852050781e+00
2.565000000000000213e+01,6.135055541992187500e+00
2.570000000000000284e+01,6.242119312286376953e+00
2.575000000000000000e+01,6.216391086578369141e+00
2.580000000000000071e+01,6.252226829528808594e+00
2.585000000000000142e+01,6.189206123352050781e+00
2.590000000000000213e+01,6.046284675598144531e+00
2.595000000000000284e+01,6.053872108459472656e+00
2.600000000000000000e+01,6.050113201141357422e+00
2.605000000000000071e+01,5.958668708801269531e+00
2.610000000000000142e+01,6.067478179931640625e+00
2.615000000000000213e+01,6.059880256652832031e+00
2.620000000000000284e+01,6.050875663757324219e+00
2.625000000000000000e+01,5.976973533630371094e+00
2.630000000000000071e+01,5.925097942352294922e+00
2.635000000000000142e+01,6.073595523834228516e+00
2.640000000000000213e+01,6.040800094604492188e+00
2.645000000000000284e+01,5.980470657348632812e+00
2.650000000000000000e+01,6.042962074279785156e+00
2.655000000000000071e+01,6.015210151672363281e+00
2.660000000000000142e+01,6.047239780426025391e+00
2.665000000000000213e+01,5.956892967224121094e+00
2.670000000000000284e+01,6.090568065643310547e+00
2.675000000000000000e+01,6.052575111389160156e+00
2.680000000000000071e+01,6.066129207611083984e+00
2.685000000000000142e+01,6.115701675415039062e+00
2.690000000000000213e+01,6.127351760864257812e+00
2.695000000000000284e+01,6.089096069335937500e+00
2.700000000000000000e+01,5.903928279876708984e+00
2.705000000000000071e+01,5.970593452453613281e+00
2.710000000000000142e+01,5.969519615173339844e+00
2.715000000000000213e+01,5.935549259185791016e+00
2.720000000000000284e+01,5.933306694030761719e+00
2.725000000000000000e+01,5.841867446899414062e+00
2.730000000000000071e+01,5.874801635742187500e+00
2.735000000000000142e+01,5.849575042724609375e+00
2.740000000000000213e+01,5.794552803039550781e+00
2.745000000000000284e+01,5.917062759399414062e+00
2.750000000000000000e+01,5.819869995117187500e+00
2.755000000000000071e+01,5.718929290771484375e+00
2.760000000000000142e+01,5.830867767333984375e+00
2.765000000000000213e+01,5.785284996032714844e+00
2.770000000000000284e+01,5.875349044799804688e+00
2.775000000000000000e+01,5.887459754943847656e+00
2.780000000000000071e+01,5.823474884033203125e+00
2.785000000000000142e+01,5.875651359558105469e+00
2.790000000000000213e+01,5.868387222290039062e+00
2.795000000000000284e+01,5.845380783081054688e+00
2.800000000000000000e+01,5.899901390075683594e+00
2.805000000000000071e+01,5.806443691253662109e+00
2.810000000000000142e+01,5.812485218048095703e+00
2.815000000000000213e+01,5.840177536010742188e+00
2.820000000000000284e+01,5.810597419738769531e+00
2.825000000000000000e+01,5.800398826599121094e+00
2.830000000000000071e+01,5.833904743194580078e+00
2.835000000000000142e+01,5.921793937683105469e+00
2.840000000000000213e+01,5.840989112854003906e+00
2.845000000000000284e+01,5.987975120544433594e+00
2.850000000000000000e+01,5.937289237976074219e+00
2.855000000000000071e+01,5.926524162292480469e+00
2.860000000000000142e+01,5.842723846435546875e+00
2.865000000000000213e+01,5.844840049743652344e+00
2.870000000000000284e+01,5.749017715454101562e+00
2.875000000000000000e+01,5.768693447113037109e+00
2.880000000000000071e+01,5.864816665649414062e+00
2.885000000000000142e+01,5.955810546875000000e+00
2.890000000000000213e+01,5.905615806579589844e+00
2.895000000000000284e+01,5.832072257995605469e+00
